"SK_ID_CURR","solution"
100002,0.279985040073601
100003,0.0790695836077888
100004,0.034666388556642
100006,0.0334121415338543
100007,0.149093253051982
100008,0.071829772941081
100009,0.0313690632169308
100010,0.0372888867980176
100011,0.0633470040601088
100012,0.0210136968205723
100014,0.0872063321966331
100015,0.0345612353108223
100016,0.0844910636303628
100017,0.0306414643797064
100018,0.0286749349205048
100019,0.116424950607057
100020,0.292682372483542
100021,0.0285077449183846
100022,0.0365647668499711
100023,0.0584768497753092
100024,0.138855976580947
100025,0.104575047940934
100026,0.103005529231756
100027,0.0340190104396939
100029,0.0295717789661112
100030,0.0517414472031642
100031,0.121981759211475
100032,0.0424388778562468
100033,0.04183188033228
100034,0.106583452390305
100035,0.0872632380076606
100036,0.0849957740682088
100037,0.0291611782790628
100039,0.12347213375573
100040,0.269416574737895
100041,0.0302952865796578
100043,0.0197311283013964
100044,0.020782406656146
100045,0.0261736686140371
100046,0.0301382589805221
100047,0.15499064732956
100048,0.418721533520268
100049,0.063613801171721
100050,0.0232816507837313
100051,0.0365751122715609
100052,0.0575540859288089
100053,0.1261989949874
100054,0.102711241016959
100055,0.0448018703653899
100056,0.0607532488391072
100058,0.0593810619494544
100059,0.0873941702238046
100060,0.0459946958497372
100061,0.0586706550269943
100062,0.026275106377466
100063,0.10068340576458
100064,0.108617919792838
100068,0.083978671841094
100069,0.0736697796093782
100070,0.0690039555051593
100071,0.0361606077564532
100072,0.216606818995522
100073,0.0732265376995586
100075,0.0726003757605804
100076,0.138581291713747
100077,0.0682794720618061
100078,0.0465008673619786
100079,0.110260537288639
100080,0.0830145627295896
100081,0.0342217813624009
100082,0.0745702781195939
100083,0.0604447140441459
100084,0.0364372707672384
100085,0.125068496932539
100086,0.114418387448956
100087,0.115579684597183
100088,0.0689009364755175
100089,0.0556695414958994
100093,0.0561969830044755
100094,0.0625582818926698
100095,0.0870437926307134
100096,0.120474423095263
100097,0.0675644215138988
100098,0.0430842886283116
100099,0.0673951562066101
100100,0.0446919700501911
100101,0.0243489634420317
100102,0.0624955721606493
100103,0.0395747868099358
100104,0.0258426914507302
100105,0.0753653476559814
100108,0.0264561820226167
100110,0.0729671132925964
100111,0.0790045645699926
100112,0.196893872011197
100113,0.0387217214304308
100114,0.183929955131148
100115,0.141973207260453
100116,0.0741278437076971
100118,0.0374963966394271
100119,0.171641681516476
100120,0.260344903774606
100121,0.0458756488151574
100122,0.173331577478421
100123,0.057271085620442
100124,0.0363812358462346
100125,0.0505730836999128
100126,0.0351619548232128
100127,0.0280328756389633
100129,0.0550972490484029
100130,0.242225317618168
100131,0.0678900711229666
100132,0.0270447336634358
100133,0.0922574332654406
100134,0.0443769595536273
100135,0.0617592870370389
100136,0.0287137750542302
100137,0.0722012933246124
100138,0.0393984128987048
100139,0.0968649151378646
100140,0.0555565040290516
100142,0.255451247805944
100143,0.029899639562541
100144,0.0402079911968097
100145,0.0249721349680201
100146,0.0621532297843434
100147,0.040290073367564
100148,0.068951094166271
100149,0.341987551629048
100151,0.0248024255364258
100152,0.0825737481525107
100153,0.0645121271817393
100154,0.0840008541616403
100155,0.095997906953198
100156,0.0301213704473454
100157,0.0509551821027013
100158,0.0284818046746016
100159,0.0358586006992747
100160,0.100328723101445
100161,0.170034767978824
100162,0.0762010885300299
100163,0.116057582760513
100164,0.0761308682752875
100165,0.0313792869325511
100166,0.138138532626656
100167,0.129162302761235
100173,0.0416360531323579
100174,0.0359379031635035
100175,0.0518359709557754
100176,0.0262435318318734
100177,0.0659765462161152
100178,0.0359382065219177
100179,0.0327001205674358
100180,0.0354405358557924
100181,0.155385873714153
100182,0.0549076660154077
